,Title,Publication Link,Authors,Pureportal Link,Publication Date
0,An Extended Plant Circadian Clock Model for Characterising Flowering Time under Different Light Quality Conditions,https://pureportal.coventry.ac.uk/en/publications/an-extended-plant-circadian-clock-model-for-characterising-flower,"Roden, L.",https://pureportal.coventry.ac.uk/en/persons/laura-roden,9 Jan 2023
1,Challenges and prospects of climate change impact assessment on mangrove environments through mathematical models,https://pureportal.coventry.ac.uk/en/publications/challenges-and-prospects-of-climate-change-impact-assessment-on-m,"Daneshkhah, A.",https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,25 Feb 2023
2,Diabetic Retinopathy Detection Using Transfer and Reinforcement Learning with Effective Image Preprocessing and Data Augmentation Techniques,https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,"Ma, Y.",https://pureportal.coventry.ac.uk/en/persons/yingliang-ma,7 Feb 2023
3,Entropy‐based lamarckian quantum‐behaved particle swarm optimization for flexible ligand docking,https://pureportal.coventry.ac.uk/en/publications/entropybased-lamarckian-quantumbehaved-particle-swarm-optimizatio,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Mar 2023
4,Extracting the Evolutionary Backbone of Scientific Domains: The Semantic Main Path Network Approach Based on Citation Context Analysis,https://pureportal.coventry.ac.uk/en/publications/extracting-the-evolutionary-backbone-of-scientific-domains-the-se,"Jiang, X.",https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang,15 Feb 2023
5,Gene Regulatory Network Inference through Link Prediction using Graph Neural Network,https://pureportal.coventry.ac.uk/en/publications/gene-regulatory-network-inference-through-link-prediction-using-g,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,19 Jan 2023
6,Kernel-based Nonlinear Manifold Learning for EEG Functional Connectivity Analysis with Application to Alzheimer's Disease,https://pureportal.coventry.ac.uk/en/publications/kernel-based-nonlinear-manifold-learning-for-eeg-functional-conne,"He, F.",https://pureportal.coventry.ac.uk/en/persons/fei-he,19 Jan 2023
7,Not Born of Woman: Gendered Robots,https://pureportal.coventry.ac.uk/en/publications/not-born-of-woman-gendered-robots,"Shah, H.",https://pureportal.coventry.ac.uk/en/persons/huma-shah,26 Feb 2023
8,PoseNormNet: Identity-preserved Posture Normalization of 3D Body Scans in Arbitrary Postures,https://pureportal.coventry.ac.uk/en/publications/posenormnet-identity-preserved-posture-normalization-of-3d-body-s,"Hu, P.",https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu,16 Feb 2023
9,Unidirectional Migration of Populations with Allee Effect,https://pureportal.coventry.ac.uk/en/publications/unidirectional-migration-of-populations-with-allee-effect,"Sadeghimanesh, A.",https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh,10 Jan 2023
10,XDLL: Explained Deep Learning LiDAR-Based Localization and Mapping Method for Self-Driving Vehicles,https://pureportal.coventry.ac.uk/en/publications/xdll-explained-deep-learning-lidar-based-localization-and-mapping,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,22 Jan 2023
11,A community energy management system for smart microgrids,https://pureportal.coventry.ac.uk/en/publications/a-community-energy-management-system-for-smart-microgrids,"Halford, A.",https://pureportal.coventry.ac.uk/en/persons/alison-halford,Aug 2022
12,A Hybrid Linear Iterative Clustering and Bayes Classification-Based GrabCut Segmentation Scheme for Dynamic Detection of Cervical Cancer,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-linear-iterative-clustering-and-bayes-classification-bas,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,18 Oct 2022
13,Allocating Medical Resources (vaccine) to Control a Pandemic,https://pureportal.coventry.ac.uk/en/publications/allocating-medical-resources-vaccine-to-control-a-pandemic,"Ajao-Olarinoye, M.",https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye,26 Apr 2022
14,An Agent-Based Optimisation Approach for Vehicle Routing Problem with Unique Vehicle Location and Depot,https://pureportal.coventry.ac.uk/en/publications/an-agent-based-optimisation-approach-for-vehicle-routing-problem-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,15 Apr 2022
15,An Effective Swarm Intelligence Optimization Algorithm for Flexible Ligand Docking,https://pureportal.coventry.ac.uk/en/publications/an-effective-swarm-intelligence-optimization-algorithm-for-flexib,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,1 Sep 2022
16,An improved Gaussian distribution based quantum-behaved particle swarm optimization algorithm for engineering shape design problems,https://pureportal.coventry.ac.uk/en/publications/an-improved-gaussian-distribution-based-quantum-behaved-particle-,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,4 May 2022
17,An integrated framework for diagnosing process faults with incomplete features,https://pureportal.coventry.ac.uk/en/publications/an-integrated-framework-for-diagnosing-process-faults-with-incomp,"Palade, V.",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Jan 2022
